,host_is_superhost,cancellation_policy,instant_bookable,host_total_listings_count,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,minimum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,price
38,0,0,0,1.0,22,37.77931,-122.50518,1,0,4,1.0,1.0,2.0,4,2.0,37.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,155.0
39,1,1,0,6.0,28,37.78197,-122.45809,15,1,2,1.0,1.0,1.0,4,2.0,197.0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0
40,0,4,0,35.0,18,37.7483,-122.42488,11,0,2,1.0,1.0,2.0,4,30.0,20.0,96.0,9.0,10.0,10.0,10.0,10.0,9.0,107.0
41,0,1,0,2.0,1,37.74093,-122.42055,1,0,2,1.0,0.0,1.0,4,30.0,21.0,98.0,10.0,10.0,10.0,10.0,10.0,9.0,100.0
42,1,3,1,6.0,16,37.76016,-122.41969,1,0,2,1.0,1.0,1.0,4,30.0,96.0,92.0,10.0,10.0,10.0,10.0,9.0,9.0,108.0
43,0,1,0,1.0,28,37.78255,-122.44844,1,1,2,1.0,1.0,1.0,4,30.0,136.0,96.0,10.0,9.0,10.0,10.0,10.0,9.0,83.0
44,0,0,0,4.0,2,37.76125,-122.43335,15,0,3,1.0,1.0,1.0,4,4.0,43.0,94.0,10.0,9.0,10.0,10.0,10.0,10.0,159.0
45,1,1,0,1.0,1,37.74083,-122.41763,15,1,2,2.0,1.0,1.0,4,3.0,225.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,129.0
46,1,1,0,1.0,16,37.75611,-122.41866,1,0,4,1.0,2.0,2.0,4,1.0,76.0,96.0,10.0,10.0,10.0,10.0,9.0,9.0,290.0
47,0,1,0,1.0,9,37.73557,-122.43302,15,0,3,1.0,0.0,2.0,4,30.0,146.0,89.0,9.0,8.0,9.0,9.0,9.0,9.0,126.0
48,1,3,1,1.0,17,37.79001,-122.41292,8,0,3,1.0,1.0,1.0,4,30.0,13.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,170.0
49,0,4,0,35.0,1,37.73356,-122.41851,1,0,2,1.0,0.0,2.0,4,30.0,6.0,93.0,10.0,10.0,10.0,10.0,10.0,10.0,85.0
50,0,4,0,35.0,1,37.73404,-122.41781,15,0,2,1.0,1.0,2.0,4,30.0,4.0,87.0,9.0,8.0,10.0,10.0,8.0,7.0,85.0
52,0,4,0,35.0,26,37.75447,-122.38813,11,0,3,1.0,2.0,2.0,4,30.0,2.0,80.0,5.0,8.0,10.0,8.0,7.0,8.0,150.0
53,0,4,0,35.0,11,37.77272,-122.44084,11,0,3,1.0,2.0,2.0,4,30.0,8.0,56.0,8.0,7.0,8.0,7.0,7.0,7.0,120.0
54,1,3,0,2.0,16,37.75145,-122.41207,1,0,2,1.0,1.0,1.0,4,30.0,280.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,95.0
55,0,3,0,2.0,16,37.75121,-122.42165,1,0,4,1.0,1.0,2.0,4,31.0,3.0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,175.0
56,0,1,0,4.0,2,37.76068,-122.43331,1,0,2,1.0,0.0,2.0,4,3.0,121.0,94.0,10.0,9.0,10.0,10.0,10.0,9.0,116.0
57,1,1,1,3.0,35,37.77248,-122.43016,15,1,2,3.0,1.0,1.0,4,2.0,96.0,95.0,10.0,10.0,10.0,10.0,10.0,10.0,125.0
58,1,3,0,1.0,20,37.72536,-122.46861,15,0,2,1.0,1.0,1.0,4,30.0,29.0,97.0,10.0,10.0,10.0,10.0,9.0,10.0,78.0
59,1,1,0,9.0,24,37.7925,-122.42431,1,0,2,1.0,1.0,1.0,4,30.0,25.0,96.0,10.0,9.0,10.0,10.0,10.0,10.0,120.0
60,1,1,0,2.0,31,37.77116,-122.42199,1,1,2,1.0,1.0,1.0,4,2.0,151.0,99.0,10.0,10.0,10.0,10.0,10.0,10.0,160.0
61,1,3,1,1.0,35,37.77121,-122.42834,1,0,2,1.0,1.0,1.0,4,30.0,105.0,98.0,10.0,10.0,10.0,10.0,10.0,10.0,119.0
62,1,1,0,9.0,24,37.79312,-122.426,1,1,1,0.0,1.0,1.0,4,30.0,160.0,92.0,10.0,9.0,10.0,10.0,10.0,9.0,55.0
63,1,1,0,1.0,17,37.79667,-122.41272,1,1,1,1.0,1.0,1.0,4,30.0,166.0,89.0,9.0,9.0,9.0,9.0,9.0,9.0,99.0
64,1,3,0,3.0,1,37.73878,-122.41189,15,1,2,1.0,1.0,1.0,4,3.0,125.0,97.0,10.0,10.0,10.0,10.0,10.0,10.0,90.0
65,0,3,1,1.0,8,37.7933,-122.40079,8,0,2,1.0,1.0,1.0,4,30.0,17.0,89.0,10.0,9.0,9.0,10.0,10.0,10.0,200.0
66,1,1,0,9.0,24,37.79166,-122.4265,1,0,2,1.0,1.0,1.0,4,30.0,38.0,93.0,9.0,9.0,10.0,10.0,10.0,9.0,115.0
67,1,3,0,4.0,22,37.77959,-122.48619,1,0,4,1.0,1.0,2.0,4,30.0,10.0,94.0,10.0,10.0,10.0,10.0,9.0,10.0,116.0
